,Company,Sector,Industry,Country,Website,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio, / 21.54,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS growth next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility (Week),Volatility (Month),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
18,ZOM,Zomedica Corp.,Healthcare,Drug Manufacturers  Specialty & Generic,,,,0.02,1.42%,979.95M,4.36%,193.10M,,0,1.49%,966.01M,9.71%,19.50M,,0,9.70%,7.16% / 16.38,,20.70M,9.33,9.70%,2.96%,69.12M,27.93%,0.27,0.75,100.00%,7.00%,,47.58%,0.13,1.59,,7.30%,0.15  0.39,23.80%,,,28.40%,7.30%,48.26%,0.96,,14.8,,71.30%,34.53%,0.01,85,15.1,44.70%,,45.09,4.95%,4.95%,No,0.01,62.20%,94.20%,1.55,0.21,Yes,0,Aug 10 AMC,,4.22M,0.2,2,3.89%,1.87%,7.19%,"4,464,668",2.61%
19,ZNTL,"Zentalis Pharmaceuticals, Inc.",Healthcare,Biotechnology,,RUT,,4.31,2.80%,59.28M,2.47%,1.89B,,4.41,235.59%,52.72M,2.53%,240.90M,,1.04,102.09%,25.27%,,,,20.50%,1.11%,13.32M,30.66%,6.5,4.14,4.30%,45.30%,50.3,12.39%,5.6,4.81,,56.00%,15.55  31.49,33.71%,,,,,14.48%,1.77,,7.3,,,73.18%,1.12,156,7.3,,,54.56,5.84%,3.96%,Yes,0,18.30%,,0.21,26.74,Yes,0,,,870.25K,26.93,1.5,2.61%,0.99%,19.52%,"125,575",0.71%
20,ZM,"Zoom Video Communications, Inc.",Technology,Software  Application,,NDX,,0.35,9.17%,295.41M,3.81%,20.00B,15.15,4.38,0.67%,227.87M,6.75%,5.50M,,1.03,64.30%,7.52% / 4.37,,4.42B,4.52,92.40%,0.55%,17.13M,13.47%,22.08,3.01,1.84%,0.10%,83.49,40.69%,18.58,3.57,0.46%,0.10%,60.45  114.99,1.93%,,18.63,66.00%,1.60%,42.23%,0.19,,3.6,96.10%,75.20%,9.89%,2.14,8484,3.6,2.90%,1.50%,40.01,2.67%,2.94%,Yes,0,86.30%,0.10%,0.27,67.47,Yes,0,Aug 21 AMC,0.00%,3.92M,66.43,2.8,5.85%,3.82%,6.49%,"727,888",1.54%
21,ZLAB,Zai Lab Limited,Healthcare,Biotechnology,,,,4.28,1.30%,98.39M,6.98%,2.53B,,2.69,1.88%,96.15M,10.99%,410.00M,,0.79,71.20%,3.18% / 5.05,,231.10M,10.94,38.90%,2.02%,3.05M,36.04%,10.41,2.43,16.20%,32.10%,77.73,43.35%,9.33,2.72,,37.60%,20.98  53.95,17.46%,,,14.20%,38.70%,53.03%,1.11,,8.3,,65.50%,20.81%,1.68,2036,8.6,34.50%,,39.7,6.53%,5.15%,Yes,0,40.70%,,0.38,25.74,Yes,0,Aug 07 AMC,,604.44K,25.34,1.6,11.05%,11.46%,24.66%,"156,144",1.55%
22,ZKIN,"ZK International Group Co., Ltd.",Basic Materials,Steel,,,,0.2,28.11%,29.69M,1.22%,18.22M,,,0.00%,21.85M,16.61%,6.10M,,,0.50%,0.12% / 1.24,,102.40M,0.18,19.50%,43.57%,0.03M,30.44%,2.85,0.21,,4.80%,,51.93%,0.27,2.17,,7.10%,0.29  1.34,45.08%,,,19.00%,2.50%,55.88%,1.94,,1,17.90%,7.40%,102.05%,0.04,280,1.5,27.40%,3.90%,38.42,7.69%,7.26%,Yes,0.24,270.70%,5.90%,3.33,0.59,Yes,0,,,20.52K,0.59,,4.61%,13.84%,15.03%,"46,539",0.63%
23,ZJYL,Jin Medical International Ltd.,Healthcare,Medical Instruments & Supplies,,,32.9,0.34,89.48%,7.90M,11.11%,88.40M,,,0.00%,0.83M,1.74%,2.70M,,,0.30%,0.71% / 0.03,,19.20M,4.6,2.80%,,0.01M,,2.26,4.93,,12.20%,,,0.89,12.45,,18.70%,4.84  20.80,39.88%,,55.25,,13.80%,46.54%,,,2.1,,32.30%,129.75%,1.41,269,3.3,18.50%,11.20%,49.8,17.89%,11.12%,No,0,22.70%,14.10%,2.33,10.19,No,0,,0.00%,176.82K,11.12,,2.04%,6.13%,28.03%,"280,772",9.13%
24,ZIVO,"ZIVO Bioscience, Inc.",Healthcare,Biotechnology,,,,0.92,8.60%,9.42M,7.34%,20.01M,,,0.00%,7.81M,4.85%,8.70M,,0.2,5.30%,0.72% / 6.13,,,,19.10%,5.09%,0.06M,41.84%,0.18,,,265.60%,6,48.15%,0.02,100.06,,,1.74  4.60,21.60%,,,30.60%,,57.39%,0.14,,0.3,,,12.64%,0.17,8,0.3,,,40.58,6.50%,8.08%,No,,2.70%,,0.88,1.97,Yes,,,,9.17K,1.96,2,1.95%,15.49%,30.33%,"5,499",0.51%
25,ZIP,"ZipRecruiter, Inc.",Industrials,Staffing & Employment Services,,RUT,33.29,0.49,2.50%,104.26M,8.54%,1.65B,35.92,0.46,7.75%,71.06M,13.79%,58.10M,3.23,0.08,92.50%,7.61% / 9.31,,861.10M,1.92,3.90%,1.79%,5.41M,26.38%,0.04,,13.47%,7.60%,19.67,18.67%,5.14,3.19,10.30%,75.50%,13.68  24.05,0.24%,,15.02,,14.80%,31.89%,1.04,,5.5,,90.10%,19.74%,0.81,1400,5.5,19.20%,10.90%,40.42,6.58%,3.96%,Yes,,31.20%,6.70%,0.61,15.88,Yes,,Aug 08 AMC,0.00%,581.12K,16.38,2.2,8.48%,5.55%,4.54%,"241,992",3.15%
26,ZION,"Zions Bancorporation, National Association",Financial,Banks  Regional,,S&P 500,6.64,5.79,1.00%,148.01M,1.42%,5.62B,8.96,4.29,8.19%,145.73M,20.18%,872.00M,,1.06,85.20%,10.99% / 3.41,,2.71B,2.08,14.70%,2.26%,16.01M,26.94%,32.05,1.2,6.02%,1.00%,36.75,31.80%,35.6,1.08,,18.70%,18.26  59.75,21.77%,1.64,5.56,15.40%,42.20%,35.63%,1.13,4.26%,,4.30%,,110.62%,1.68,9989,,65.80%,88.70%,64.02,3.78%,4.85%,Yes,0.14,4.60%,32.20%,0.43,37.53,Yes,0.14,Jul 19 AMC,27.30%,4.70M,38.46,2.6,5.50%,20.70%,2.82%,"1,384,853",2.48%
27,ZING,Financial,Shell Companies,USA,,,99.71,0.1,4.23%,56.04M,0.00%,586.74M,,,0.00%,40.25M,0.34%,5.00M,,,90.40%,0.02% / 0.05,,,,271.50%,3.84%,0.01M,3.66%,7.12,1.47,,1.20%,,6.08%,0,,,1.30%,9.86  10.94,3.97%,,,,,4.25%,0.04,,0.1,,,6.19%,0.01,,0.1,,,65.26,0.15%,0.09%,No,0,608.30%,,4.68,10.47,Yes,0,,0.00%,190.43K,10.47,,0.11%,0.50%,2.71%,"606,239",0.00%
28,ZIMV,ZimVie Inc.,Healthcare,Medical Devices,,RUT,,2.61,0.10%,26.26M,7.17%,324.22M,15.38,0.78,475.24%,26.07M,9.86%,68.20M,,0.04,76.30%,1.70% / 1.59,,903.70M,0.36,32.90%,0.42%,0.44M,27.90%,28.31,0.42,42.20%,3.90%,7,39.89%,2.44,4.88,,8.50%,5.05  19.70,27.62%,,,,3.80%,39.49%,1.18,,1.4,,68.30%,136.04%,0.76,2700,2.6,4.30%,10.50%,45.14,5.67%,6.63%,Yes,0,15.90%,7.10%,0.27,11.75,Yes,0.7,,,277.37K,11.92,3.5,8.02%,2.06%,25.68%,"50,696",1.45%
29,ZIM,ZIM Integrated Shipping Services Ltd.,Industrials,Marine Shipping,,,0.6,23.67,21.93%,120.17M,5.16%,1.75B,,3.15,0.00%,80.39M,11.61%,2.85B,,0.88,38.80%,24.50%,,10.22B,0.17,1.70%,12.45%,19.69M,37.49%,42.29,0.34,0.60%,24.40%,13.6,72.78%,24.04,0.59,,51.80%,11.78  53.59,17.02%,16.95,0.53,271.20%,46.30%,73.38%,1.88,118.83%,1.1,33.40%,40.80%,21.09%,0.66,4830,1.2,63.00%,38.00%,51.15,4.56%,4.68%,Yes,0.92,103.50%,27.90%,0.42,14.21,Yes,0.61,Aug 16 BMO,71.40%,3.23M,14.26,3.6,0.15%,5.80%,23.32%,"932,323",0.38%
30,ZIG,The Acquirers Fund ETF,Financial,Exchange Traded Fund,,,,,,,0.12%,,,,,,2.69%,,,,, / ,,,,,,,12.62%,,,,,,19.98%,,,,,22.45  32.80,24.90%,0.33,,,,1.91%,0.99,1.01%,,,,43.30%,0.39,,,,,60.76,1.29%,1.01%,No,,,,0.55,32.16,Yes,,,,3.46K,32.17,,0.28%,6.10%,14.82%,"1,300",0.03%
31,ZI,ZoomInfo Technologies Inc.,Technology,Software  Application,,,61.09,0.31,1.50%,401.19M,1.38%,7.59B,18.02,1.04,26.36%,328.24M,33.16%,123.70M,3.77,0.24,90.10%,4.26% / 1.99,,1.20B,6.33,40.00%,3.56%,13.98M,31.97%,5.85,3.21,5.05%,1.70%,28.67,62.41%,1.63,11.5,16.22%,5.40%,18.00  51.86,37.71%,,19.94,48.01%,2.40%,63.84%,1.02,,1.6,,84.50%,4.19%,1.05,3540,1.6,15.50%,23.30%,29.01,2.40%,3.74%,Yes,0.53,140.50%,10.30%,0.6,18.4,Yes,0.52,Jul 31 AMC,0.00%,7.04M,18.75,2.1,19.96%,25.03%,28.48%,"2,872,915",1.93%
32,ZHDG,ZEGA Buy and Hedge ETF,Financial,Exchange Traded Fund,,,,,,,0.14%,,,,,,0.40%,,,,, / 6.52,,,,,,0.05M,5.76%,,,,,,2.16%,,,,,15.56  18.39,11.37%,0.57,,,,4.13%,0.75,3.21%,,,,13.30%,0.11,,,,,49.95,0.44%,0.49%,Yes,,,,0.12,17.64,Yes,,,,8.35K,17.63,,0.78%,1.30%,5.33%,680,0.03%
33,ZH,Zhihu Inc.,Communication Services,Internet Content & Information,,,,0.26,10.24%,610.49M,5.98%,689.05M,,0.07,0.00%,497.68M,8.33%,160.30M,,0.05,14.10%,1.71% / 3.13,,538.20M,1.28,15.20%,4.91%,8.50M,44.44%,1.25,0.88,65.00%,14.50%,1.97,17.91%,1.39,0.79,,19.90%,0.89  2.11,15.38%,,,,28.60%,47.87%,0.42,,3.7,,51.50%,23.64%,0.06,2515,3.7,33.80%,30.40%,45.09,4.12%,5.35%,Yes,0,70.90%,29.80%,0.79,1.15,Yes,0,May 24 BMO,,2.72M,1.1,2,4.43%,1.65%,12.83%,"1,457,362",4.35%
34,ZGN,Ermenegildo Zegna N.V.,Consumer Cyclical,Apparel Manufacturing,,,68.65,0.23,76.19%,237.78M,3.33%,4.02B,34.03,0.47,0.00%,55.20M,9.11%,56.30M,1.91,,9.90%,1.38% / 1.18,,1.63B,2.46,138.10%,21.91%,0.76M,28.17%,3.12,5.13,,2.10%,14.78,43.97%,2.5,6.39,35.87%,8.00%,9.59  16.36,52.77%,0.11,46.31,,7.00%,2.23%,0.56,0.68%,1,,49.80%,66.79%,0.34,6030,1.5,24.70%,9.90%,75.54,2.00%,2.13%,Yes,1.35,174.00%,3.40%,0.34,16.01,Yes,0.76,,0.00%,644.39K,15.99,2.7,6.00%,19.08%,29.64%,"148,527",0.09%
35,ZG,"Zillow Group, Inc.",Communication Services,Internet Content & Information,,,,0.76,3.51%,233.63M,0.56%,12.71B,35.09,1.55,1.93%,210.41M,2.18%,180.00M,,0.22,85.90%,0.43% / 1.91,,1.89B,6.71,82.80%,0.42%,0.90M,27.76%,19.2,2.84,35.78%,2.70%,56.21,38.40%,14.19,3.84,,4.00%,26.21  55.68,74.50%,,43.97,10.50%,1.60%,2.19%,1.73,,,12.70%,80.70%,107.76%,1.85,5991,10.9,0.40%,13.00%,59.47,3.76%,3.20%,Yes,0.39,467.30%,9.60%,0.7,54.65,Yes,0.37,Aug 02 AMC,,472.39K,54.46,2.4,2.27%,9.49%,28.72%,"225,061",0.34%
36,ZFOX,"ZeroFox Holdings, Inc.",Technology,Software  Infrastructure,,,,6.42,9.20%,117.89M,2.54%,141.10M,,0.22,0.48%,94.26M,12.04%,749.80M,,0.07,55.40%,0.32% / 1.07,,149.60M,0.94,775.00%,,0.30M,53.46%,4.03,0.3,18.50%,,2.77,87.30%,0.24,4.99,,,0.75  9.68,75.70%,,,,112.30%,87.50%,0.33,,1,,35.10%,61.72%,0.06,721,1,234.60%,,64.69,5.16%,6.31%,No,0.4,76.60%,,0.24,1.22,Yes,0.39,Jun 06 BMO,,282.48K,1.21,2,6.05%,9.53%,52.39%,"46,062",0.82%
37,ZEV,"Lightning eMotors, Inc.",Industrials,Farm & Heavy Construction Machinery,,,3.14,1.09,4.40%,4.79M,8.06%,21.89M,,6.7,0.00%,2.11M,16.99%,2.50M,,3.02,19.60%,14.49% / 3.01,,20.30M,1.08,110.60%,34.61%,0.31M,73.20%,8.58,0.4,44.90%,1.60%,36.88,95.59%,5.53,0.62,,4.90%,2.91  78.40,53.34%,,,,59.70%,95.64%,2.42,,2.9,,80.60%,17.52%,0.24,268,5.3,75.90%,,39.29,5.90%,5.95%,No,1.3,70.70%,12.30%,0.49,3.53,Yes,1.3,Aug 14 AMC,0.00%,101.65K,3.42,2.7,10.26%,8.57%,64.07%,"34,048",3.12%
38,ZEUS,"Olympic Steel, Inc.",Basic Materials,Steel,,RUT,9.01,5.5,1.30%,11.57M,7.89%,519.85M,14.12,3.51,42.53%,9.76M,5.68%,63.50M,0.26,0.83,78.50%,3.73% / 4.05,,2.44B,0.21,25.30%,0.76%,0.36M,7.79%,45.34,1.09,3.39%,9.00%,53,65.81%,1.75,28.25,34.29%,17.70%,22.62  58.84,47.44%,0.5,3.21,28.90%,14.80%,15.86%,1.83,1.01%,1.4,14.00%,14.60%,118.88%,2,1961,3.6,17.70%,5.50%,43.15,5.43%,3.76%,Yes,0.5,73.60%,3.70%,0.35,49.7,Yes,0.5,Aug 03 AMC,4.60%,89.73K,49.51,2,6.63%,0.14%,13.00%,"21,544",0.38%
39,ZETA,Zeta Global Holdings Corp.,Technology,Software  Application,,RUT,,1.57,9.80%,154.60M,12.92%,1.76B,17.21,0.47,1.21%,137.89M,9.12%,230.30M,,0.09,57.70%,6.29% / 8.05,,656.80M,2.67,31.90%,12.50%,8.67M,10.12%,0.89,9.13,39.23%,49.30%,13.75,14.60%,0.54,15,30.00%,182.60%,5.78  11.28,0.55%,,62.51,,82.50%,27.97%,1.32,,1.7,,63.50%,40.57%,0.46,1604,1.7,25.10%,32.40%,42.51,7.23%,5.03%,Yes,1.34,46.70%,35.10%,0.28,8.06,Yes,1.34,,,1.08M,8.12,1.8,8.18%,7.16%,10.30%,"207,365",0.81%
